return_id,order_id,product_id,return_date,return_reason,refund_amount
RET00105,O00295,P029,8/29/2026,Damaged,10863.12
RET00106,O00225,P007,10/23/2025,Wrong Item,3298.47
RET00107,O00332,P004,3/30/2026,Quality Issue,9610.75
RET00108,O01052,P005,10/1/2026,Late Delivery,9961.02
RET00109,O00982,P009,9/19/2025,Quality Issue,7971.17
RET00110,O01022,P024,4/28/2025,Changed Mind,13028.23
RET00111,O00191,P035,7/13/2025,Damaged,7690.94
RET00112,O01088,P002,7/20/2025,Late Delivery,3604.12
RET00113,O00866,P075,4/2/2025,Changed Mind,6578.23
RET00114,O01442,P028,1/10/2026,Damaged,24240.28
RET00115,O01029,P037,8/9/2025,Changed Mind,2657.09
RET00116,O00396,P035,4/26/2025,Damaged,16343.26
RET00117,O01000,P018,5/19/2025,Quality Issue,3163.15
RET00118,O01352,P040,8/6/2025,Changed Mind,11145.44
RET00119,O00873,P024,10/1/2025,Late Delivery,24815.68
RET00120,O02067,P046,9/17/2026,Damaged,4543.57
RET00121,O01736,P032,4/12/2026,Wrong Item,6292.09
RET00122,O00765,P029,4/19/2026,Changed Mind,7623.24
RET00123,O00324,P065,4/6/2026,Wrong Item,4335.59
RET00124,O01634,P056,6/9/2026,Changed Mind,9103.09
RET00125,O01974,P080,9/1/2025,Damaged,4461.41
RET00126,O00772,P067,4/27/2025,Damaged,6278.34
RET00127,O01276,P061,12/20/2025,Quality Issue,15955.27
RET00128,O00217,P031,3/1/2025,Changed Mind,18702
RET00129,O02132,P025,7/4/2025,Wrong Item,2943.75
RET00130,O01426,P010,5/11/2026,Late Delivery,20094.21
RET00131,O00002,P059,12/17/2025,Late Delivery,9200.96
RET00132,O02122,P025,4/5/2026,Damaged,3107.29
RET00133,O00916,P018,12/21/2025,Wrong Item,11320.74
RET00134,O02162,P036,1/9/2026,Quality Issue,3261.08
RET00135,O01501,P027,8/22/2025,Quality Issue,5111.06
RET00136,O00892,P003,7/5/2025,Wrong Item,8800.18
RET00137,O00305,P078,7/29/2025,Quality Issue,13517.66
RET00138,O00516,P059,6/6/2026,Late Delivery,4116.22
RET00139,O01997,P054,9/20/2026,Wrong Item,5704.38
RET00140,O01225,P012,4/17/2025,Wrong Item,11383.84
RET00141,O00118,P018,1/6/2026,Changed Mind,11320.74
RET00142,O02178,P060,11/28/2025,Quality Issue,1232.52
RET00143,O01731,P029,1/21/2026,Changed Mind,12959.51
RET00144,O00218,P022,7/14/2025,Changed Mind,15195.73
RET00145,O01323,P033,3/5/2025,Changed Mind,7738.47
RET00146,O00011,P038,6/26/2025,Changed Mind,7920.44
RET00147,O01041,P018,6/14/2025,Changed Mind,7991.11
RET00148,O00271,P062,3/31/2025,Quality Issue,2791.4
RET00149,O01249,P044,9/23/2025,Quality Issue,4511.48
RET00150,O01566,P014,4/1/2026,Wrong Item,18791.32
RET00151,O01123,P056,9/12/2026,Quality Issue,17068.29
RET00152,O00517,P029,3/17/2026,Changed Mind,10672.54
RET00153,O01095,P079,6/10/2025,Changed Mind,7037.58
RET00154,O01069,P046,9/27/2025,Changed Mind,10385.3
RET00155,O02018,P032,8/23/2025,Wrong Item,25168.35
RET00156,O01641,P020,7/2/2025,Changed Mind,4099.14
RET00157,O00682,P060,9/26/2026,Quality Issue,3697.58
RET00158,O02095,P046,3/16/2026,Wrong Item,15577.94
RET00159,O00547,P029,12/5/2025,Damaged,10291.37
RET00160,O00369,P026,11/9/2025,Wrong Item,13949.34
RET00161,O01386,P024,9/1/2025,Changed Mind,23574.9
RET00162,O01290,P039,10/28/2025,Wrong Item,3241.91
RET00163,O00323,P047,3/3/2026,Damaged,22383.54
RET00164,O01044,P032,8/21/2026,Wrong Item,18545.1
RET00165,O01262,P036,12/13/2025,Late Delivery,5467.1
RET00166,O00207,P019,6/16/2025,Damaged,2645.68
RET00167,O01626,P010,9/7/2026,Damaged,20094.21
RET00168,O01590,P052,8/30/2025,Quality Issue,11198.06
RET00169,O00791,P064,4/18/2025,Wrong Item,3781.11
RET00170,O00320,P001,1/10/2026,Late Delivery,4048.03
RET00171,O01876,P051,6/2/2026,Wrong Item,2954.49
RET00172,O00386,P073,7/28/2025,Quality Issue,5934.92
RET00173,O00872,P080,8/9/2025,Wrong Item,17845.63
RET00174,O01645,P045,8/15/2025,Wrong Item,4385.28
RET00175,O01317,P019,6/11/2026,Wrong Item,11827.77
RET00176,O00359,P053,9/7/2026,Wrong Item,6032.11
RET00177,O01206,P030,7/5/2026,Changed Mind,18828.52
RET00178,O01458,P072,7/10/2025,Changed Mind,7901.58
RET00179,O00009,P059,7/6/2026,Damaged,13801.44
RET00180,O00944,P063,8/27/2025,Quality Issue,9450.17
RET00181,O00422,P014,7/16/2026,Wrong Item,14093.49
RET00182,O01093,P045,9/27/2026,Late Delivery,15622.56
RET00183,O02029,P054,4/21/2026,Damaged,10838.32
RET00184,O01971,P031,9/5/2026,Quality Issue,7874.53
RET00185,O02070,P008,5/22/2025,Wrong Item,4179.74
RET00186,O00390,P014,3/15/2026,Wrong Item,18791.32
RET00187,O01328,P030,3/31/2025,Late Delivery,24208.09
RET00188,O00790,P027,3/14/2026,Quality Issue,18172.64
RET00189,O00294,P057,9/14/2025,Wrong Item,6514.07
RET00190,O01808,P022,9/14/2026,Late Delivery,16685.51
RET00191,O00039,P060,12/13/2025,Changed Mind,1496.64
RET00192,O01387,P019,5/17/2026,Damaged,2801.31
RET00193,O01870,P049,8/23/2025,Quality Issue,18567.6
RET00194,O00986,P074,4/13/2025,Quality Issue,20504.6
RET00195,O00860,P007,5/5/2026,Quality Issue,3104.44
RET00196,O00800,P053,7/7/2025,Wrong Item,7196.2
RET00197,O02009,P074,4/24/2026,Late Delivery,23433.82
RET00198,O02045,P022,11/25/2025,Late Delivery,5959.11
RET00199,O00844,P047,9/15/2026,Damaged,13057.06
RET00200,O00041,P030,9/21/2025,Late Delivery,13448.94
RET00201,O00134,P052,10/19/2025,Late Delivery,22396.12
RET00202,O00494,P024,5/4/2026,Wrong Item,5893.72
RET00203,O01964,P013,5/30/2026,Quality Issue,5652.94
RET00204,O01084,P021,5/12/2025,Damaged,15231.17
RET00205,O00161,P011,5/4/2026,Wrong Item,6746.23
RET00206,O01373,P005,12/11/2025,Wrong Item,9462.97
RET00207,O00696,P079,9/25/2026,Late Delivery,3753.38
RET00208,O01988,P065,3/2/2026,Damaged,3879.21
RET00209,O01094,P058,5/23/2026,Wrong Item,11041.94
RET00210,O02115,P045,9/16/2025,Quality Issue,5207.52
RET00211,O02055,P069,8/12/2025,Late Delivery,5033.2
RET00212,O00519,P025,5/30/2026,Late Delivery,5560.41
RET00213,O00434,P072,3/9/2025,Late Delivery,12394.64
RET00214,O00977,P077,1/31/2026,Wrong Item,1758.24
RET00215,O00395,P010,9/13/2026,Wrong Item,15628.83
RET00216,O01822,P009,9/26/2026,Quality Issue,14945.94
RET00217,O01419,P041,4/20/2026,Wrong Item,2839.59
RET00218,O01915,P031,12/14/2025,Damaged,3937.26
RET00219,O01551,P053,6/15/2026,Late Delivery,3386.45
RET00220,O00139,P017,3/9/2025,Damaged,16361.28
RET00221,O01722,P002,6/4/2026,Damaged,10812.36
RET00222,O01992,P006,6/19/2025,Late Delivery,14461.36
RET00223,O01853,P013,5/1/2026,Changed Mind,1496.37
RET00224,O01379,P055,9/18/2025,Changed Mind,15621.16
RET00225,O00460,P058,5/10/2026,Damaged,13112.31
RET00226,O01844,P053,2/13/2026,Wrong Item,7196.2
RET00227,O00389,P022,8/22/2026,Wrong Item,9534.58
RET00228,O00835,P008,5/31/2026,Changed Mind,4179.74
RET00229,O00185,P068,8/13/2026,Quality Issue,21176.41
RET00230,O00450,P078,5/27/2025,Wrong Item,12015.7
RET00231,O01663,P021,10/6/2025,Changed Mind,17101.66
RET00232,O01311,P029,11/9/2025,Changed Mind,3621.04
RET00233,O02142,P075,3/18/2025,Changed Mind,12498.64
RET00234,O01546,P005,3/14/2025,Damaged,6972.71
RET00235,O01557,P048,3/23/2025,Changed Mind,17241.56
RET00236,O01081,P044,5/19/2026,Wrong Item,7598.29
RET00237,O00309,P030,11/15/2025,Wrong Item,22863.2
RET00238,O01300,P070,5/10/2026,Late Delivery,9477.5
RET00239,O02000,P012,6/28/2026,Quality Issue,6790.36
RET00240,O02093,P066,3/21/2025,Changed Mind,18652.59
RET00241,O00005,P020,7/5/2026,Wrong Item,16396.54
RET00242,O00408,P064,7/9/2025,Late Delivery,8980.14
RET00243,O01233,P057,10/21/2025,Wrong Item,10313.95
RET00244,O01082,P004,9/10/2026,Damaged,3768.92
RET00245,O01247,P009,8/22/2025,Wrong Item,18931.52
RET00246,O00929,P004,8/28/2026,Damaged,10552.98
RET00247,O00914,P017,12/19/2025,Quality Issue,4857.25
RET00248,O01014,P060,3/8/2025,Damaged,4930.1
RET00249,O00833,P009,6/26/2026,Wrong Item,17935.13
RET00250,O01661,P018,3/26/2025,Changed Mind,5660.37
RET00251,O00718,P043,3/5/2026,Damaged,17409.48
RET00252,O01777,P004,11/21/2025,Quality Issue,10741.42
RET00253,O01753,P034,5/21/2025,Changed Mind,17856.87
RET00254,O01040,P013,12/24/2025,Quality Issue,3325.26
RET00255,O02195,P065,9/27/2025,Damaged,3651.02
RET00256,O00181,P005,4/27/2025,Damaged,2656.27
RET00257,O01550,P055,1/17/2026,Late Delivery,11130.08
RET00258,O00695,P017,3/26/2025,Changed Mind,10737.09
RET00259,O00948,P077,1/7/2026,Wrong Item,5552.34
RET00260,O00927,P001,7/10/2025,Late Delivery,16192.13
