customer_id,total_spending,number_of_orders,average_order_value,purchase_frequency,recency_days,customer_lifetime_value,segment
C0033,47086.129,1,47086.129,1,12,47086.129,Low-Value Customers
C0034,199707.922,6,33284.653666666665,6,32,199707.922,VIP Customers
C0035,167807.6225,9,18645.291388888887,9,71,167807.6225,VIP Customers
C0036,156082.422,7,22297.488857142856,7,21,156082.422,VIP Customers
C0037,66073.582,3,22024.52733333333,3,89,66073.582,Regular Customers
C0038,52816.599,3,17605.533,3,19,52816.599,Regular Customers
C0039,135019.494,4,33754.8735,4,47,135019.494,High-Value Customers
C0040,35838.5855,2,17919.29275,2,515,35838.5855,Inactive Customers
C0041,142825.0395,5,28565.007900000004,5,63,142825.0395,High-Value Customers
C0042,135424.217,4,33856.05425,4,14,135424.217,High-Value Customers
C0043,58654.025,2,29327.0125,2,66,58654.025,Regular Customers
C0044,180525.35450000002,6,30087.559083333337,6,6,180525.35450000002,VIP Customers
C0045,142304.6885,4,35576.172125,4,52,142304.6885,High-Value Customers
C0046,60266.543999999994,4,15066.635999999999,4,173,60266.543999999994,Regular Customers
C0047,194848.7155,5,38969.7431,5,111,194848.7155,VIP Customers
C0048,162653.1875,7,23236.16964285714,7,38,162653.1875,VIP Customers
C0049,166084.556,6,27680.759333333335,6,58,166084.556,VIP Customers
C0050,187592.0915,5,37518.418300000005,5,43,187592.09150000004,VIP Customers
C0051,153427.724,4,38356.931,4,1,153427.724,High-Value Customers
C0052,272487.293,8,34060.911625,8,55,272487.293,VIP Customers
C0053,113448.10100000001,6,18908.016833333335,6,5,113448.10100000001,High-Value Customers
C0054,39940.1495,3,13313.383166666667,3,88,39940.1495,Regular Customers
C0055,113835.6465,5,22767.1293,5,156,113835.6465,High-Value Customers
C0056,76582.187,3,25527.395666666667,3,162,76582.187,High-Value Customers
C0057,90108.103,4,22527.02575,4,270,90108.103,At-Risk Customers
C0058,168510.0735,5,33702.0147,5,22,168510.0735,VIP Customers
C0059,97692.4335,4,24423.108375,4,255,97692.4335,At-Risk Customers
C0060,84770.12950000001,4,21192.532375000003,4,34,84770.12950000001,High-Value Customers
C0061,194804.5115,6,32467.418583333332,6,174,194804.5115,VIP Customers
C0062,86080.4005,5,17216.0801,5,77,86080.40049999999,High-Value Customers
C0063,40460.6415,1,40460.6415,1,42,40460.6415,Low-Value Customers
C0064,285429.8765,9,31714.430722222223,9,90,285429.8765,VIP Customers
C0065,222154.32,6,37025.72,6,147,222154.32,VIP Customers
C0066,94485.724,6,15747.620666666668,6,4,94485.724,High-Value Customers
C0067,158082.04,6,26347.006666666668,6,42,158082.04,VIP Customers
C0068,96812.5895,3,32270.863166666666,3,272,96812.5895,At-Risk Customers
C0069,69202.17749999999,2,34601.088749999995,2,289,69202.17749999999,At-Risk Customers
C0070,66104.5465,4,16526.136625,4,175,66104.5465,Regular Customers
C0071,161612.61000000002,6,26935.435,6,206,161612.61000000002,At-Risk Customers
C0072,79556.335,2,39778.1675,2,364,79556.335,At-Risk Customers
C0073,66592.025,2,33296.0125,2,129,66592.025,Regular Customers
C0074,63354.377,3,21118.125666666667,3,86,63354.377,Regular Customers
C0075,109224.741,4,27306.18525,4,65,109224.741,High-Value Customers
C0076,134742.399,6,22457.0665,6,49,134742.399,High-Value Customers
C0077,145548.172,5,29109.6344,5,42,145548.172,High-Value Customers
C0078,157592.43099999998,7,22513.204428571426,7,107,157592.43099999998,VIP Customers
C0079,98677.463,5,19735.4926,5,95,98677.463,High-Value Customers
C0080,29524.925000000003,1,29524.925000000003,1,241,29524.925000000003,At-Risk Customers
C0081,119630.279,5,23926.0558,5,147,119630.279,High-Value Customers
C0082,149519.923,5,29903.984600000003,5,198,149519.923,At-Risk Customers
C0083,45467.5215,2,22733.76075,2,247,45467.5215,At-Risk Customers
C0084,116486.647,5,23297.3294,5,281,116486.647,At-Risk Customers
C0085,204907.112,8,25613.389,8,2,204907.112,VIP Customers
C0086,6577.6995,1,6577.6995,1,447,6577.6995,Inactive Customers
C0087,38754.919,3,12918.306333333334,3,84,38754.919,Regular Customers
C0088,153149.7035,7,21878.529071428573,7,79,153149.7035,VIP Customers
C0089,74138.7285,5,14827.7457,5,52,74138.7285,Regular Customers
C0090,22196.305,2,11098.1525,2,67,22196.305,Low-Value Customers
C0091,148764.663,7,21252.094714285715,7,71,148764.663,High-Value Customers
C0092,65963.599,3,21987.866333333335,3,153,65963.599,Regular Customers
C0093,180206.19700000001,5,36041.239400000006,5,0,180206.19700000004,VIP Customers
C0094,104905.47099999999,6,17484.245166666664,6,250,104905.47099999999,At-Risk Customers
C0095,209387.15,9,23265.23888888889,9,81,209387.15,VIP Customers
C0096,64615.837,4,16153.95925,4,109,64615.837,Regular Customers
C0097,69268.1445,5,13853.6289,5,77,69268.1445,Regular Customers
C0098,171079.4075,6,28513.234583333335,6,31,171079.4075,VIP Customers
C0099,245891.702,6,40981.950333333334,6,59,245891.702,VIP Customers
C0100,165286.389,8,20660.798625,8,73,165286.389,VIP Customers
C0101,133714.2245,5,26742.844900000004,5,142,133714.2245,High-Value Customers
C0102,62261.909999999996,5,12452.382,5,99,62261.909999999996,Regular Customers
C0103,108187.3025,5,21637.4605,5,25,108187.3025,High-Value Customers
C0104,125164.0035,5,25032.8007,5,70,125164.00349999999,High-Value Customers
C0105,125315.795,4,31328.94875,4,33,125315.795,High-Value Customers
C0106,133967.2205,5,26793.4441,5,5,133967.2205,High-Value Customers
C0107,46085.028,2,23042.514,2,182,46085.028,At-Risk Customers
C0108,191322.12,10,19132.212,10,3,191322.12,VIP Customers
C0109,97680.1685,4,24420.042125,4,51,97680.1685,High-Value Customers
C0110,45430.306,2,22715.153,2,56,45430.306,Regular Customers
C0111,76932.722,3,25644.240666666665,3,195,76932.722,At-Risk Customers
C0112,149292.55349999998,6,24882.092249999998,6,179,149292.55349999998,High-Value Customers
C0113,167833.526,9,18648.169555555556,9,34,167833.526,VIP Customers
C0114,187580.901,6,31263.483500000002,6,127,187580.901,VIP Customers
C0115,25585.807,2,12792.9035,2,366,25585.807,Inactive Customers
C0116,63436.626,3,21145.541999999998,3,344,63436.62599999999,At-Risk Customers
C0117,46267.519,1,46267.519,1,82,46267.519,Low-Value Customers
C0118,79915.405,3,26638.468333333334,3,141,79915.405,High-Value Customers
C0119,156757.3315,4,39189.332875,4,198,156757.3315,At-Risk Customers
C0120,41779.001,3,13926.333666666666,3,41,41779.001,Regular Customers
C0121,194183.5525,9,21575.950277777778,9,133,194183.5525,VIP Customers
C0122,14045.682,1,14045.682,1,573,14045.682,Inactive Customers
C0123,189035.6425,7,27005.091785714285,7,31,189035.6425,VIP Customers
C0124,104322.26150000001,4,26080.565375000002,4,158,104322.26150000001,High-Value Customers
C0125,103616.056,6,17269.342666666667,6,4,103616.05600000001,High-Value Customers
C0126,67009.0385,2,33504.51925,2,178,67009.0385,Regular Customers
C0127,136998.352,3,45666.117333333335,3,17,136998.352,High-Value Customers
C0128,148853.8265,4,37213.456625,4,98,148853.8265,High-Value Customers
C0129,166717.431,6,27786.238500000003,6,65,166717.431,VIP Customers
C0130,65506.859,4,16376.71475,4,78,65506.859,Regular Customers
C0131,150135.6635,6,25022.61058333333,6,124,150135.6635,VIP Customers
C0132,67294.7495,5,13458.949900000001,5,25,67294.7495,Regular Customers
C0133,224018.011,8,28002.251375,8,21,224018.011,VIP Customers
C0134,23091.760000000002,1,23091.760000000002,1,471,23091.760000000002,Inactive Customers
C0135,67629.414,4,16907.3535,4,210,67629.414,At-Risk Customers
C0136,66036.06450000001,4,16509.016125000002,4,223,66036.06450000001,At-Risk Customers
C0137,89302.4145,5,17860.4829,5,93,89302.4145,High-Value Customers
C0138,126984.4075,6,21164.067916666667,6,167,126984.4075,High-Value Customers
C0139,60946.49,4,15236.6225,4,105,60946.49,Regular Customers
C0140,149671.9315,4,37417.982875,4,145,149671.9315,High-Value Customers
C0142,118434.84,5,23686.968,5,20,118434.84,High-Value Customers
C0143,70065.005,5,14013.001,5,217,70065.005,At-Risk Customers
C0144,163898.98249999998,5,32779.7965,5,394,163898.98249999998,Inactive Customers
C0145,177330.4365,7,25332.9195,7,116,177330.4365,VIP Customers
C0146,62546.546500000004,5,12509.3093,5,74,62546.546500000004,Regular Customers
C0147,57686.8775,3,19228.959166666667,3,75,57686.8775,Regular Customers
C0148,43781.4845,3,14593.828166666666,3,84,43781.4845,Regular Customers
C0149,53028.5995,4,13257.149875,4,113,53028.5995,Regular Customers
C0150,121202.277,3,40400.759,3,157,121202.277,High-Value Customers
C0151,201796.403,6,33632.73383333333,6,38,201796.403,VIP Customers
C0152,109661.5115,6,18276.918583333332,6,113,109661.5115,High-Value Customers
C0153,57103.152,2,28551.576,2,367,57103.152,Inactive Customers
C0154,100722.93549999999,7,14388.990785714284,7,1,100722.93549999999,High-Value Customers
C0155,159634.419,5,31926.8838,5,293,159634.419,At-Risk Customers
C0156,116327.822,4,29081.9555,4,60,116327.822,High-Value Customers
C0157,128654.001,4,32163.50025,4,59,128654.001,High-Value Customers
C0158,194276.11800000002,5,38855.223600000005,5,27,194276.11800000002,VIP Customers
C0159,92713.22,3,30904.406666666666,3,37,92713.22,High-Value Customers
C0161,188420.6745,7,26917.239214285713,7,71,188420.6745,VIP Customers
C0162,94831.6,5,18966.32,5,98,94831.6,High-Value Customers
C0163,57879.6005,4,14469.900125,4,111,57879.6005,Regular Customers
C0164,123169.46100000001,7,17595.63728571429,7,29,123169.46100000002,High-Value Customers
C0165,125387.26,5,25077.451999999997,5,55,125387.25999999998,High-Value Customers
C0166,75761.7225,5,15152.344500000001,5,60,75761.7225,High-Value Customers
C0167,31534.237,3,10511.412333333334,3,47,31534.237,Regular Customers
C0168,146606.061,5,29321.212199999998,5,99,146606.061,High-Value Customers
C0169,156834.4075,5,31366.8815,5,91,156834.4075,VIP Customers
C0170,169803.18,7,24257.597142857143,7,4,169803.18,VIP Customers
C0171,81203.2745,4,20300.818625,4,146,81203.2745,High-Value Customers
C0172,111554.569,6,18592.42816666667,6,104,111554.56900000002,High-Value Customers
C0173,173799.6485,6,28966.608083333336,6,126,173799.6485,VIP Customers
C0174,66745.373,4,16686.34325,4,34,66745.373,Regular Customers
C0175,165136.6055,6,27522.767583333334,6,82,165136.6055,VIP Customers
C0176,106895.535,4,26723.88375,4,94,106895.535,High-Value Customers
C0177,202771.5745,6,33795.262416666665,6,230,202771.5745,At-Risk Customers
C0178,67798.2625,4,16949.565625,4,165,67798.2625,Regular Customers
C0179,58066.6495,2,29033.32475,2,167,58066.6495,Regular Customers
C0180,161611.13450000001,7,23087.30492857143,7,49,161611.13450000001,VIP Customers
C0181,125385.085,5,25077.017,5,53,125385.08499999999,High-Value Customers
C0182,5812.243,1,5812.243,1,362,5812.243,At-Risk Customers
C0183,97752.299,4,24438.07475,4,8,97752.299,High-Value Customers
C0184,42825.5975,2,21412.79875,2,52,42825.5975,Regular Customers
C0185,272655.389,9,30295.043222222226,9,155,272655.389,VIP Customers
C0186,101279.933,3,33759.977666666666,3,69,101279.93299999999,High-Value Customers
C0187,134058.098,4,33514.5245,4,5,134058.098,High-Value Customers
C0188,80119.613,2,40059.8065,2,148,80119.613,High-Value Customers
C0189,50216.63,4,12554.1575,4,195,50216.63,At-Risk Customers
C0190,182501.9755,9,20277.997277777777,9,5,182501.9755,VIP Customers
C0191,18630.533,2,9315.2665,2,100,18630.533,Low-Value Customers
C0192,119549.62,6,19924.936666666665,6,77,119549.62,High-Value Customers
C0193,64654.064,3,21551.354666666666,3,116,64654.064,Regular Customers
C0194,29238.228,2,14619.114,2,47,29238.228,Low-Value Customers
C0195,174609.4485,7,24944.206928571428,7,46,174609.4485,VIP Customers
C0196,76428.12150000001,3,25476.040500000003,3,7,76428.12150000001,High-Value Customers
C0197,142181.817,6,23696.969500000003,6,71,142181.817,High-Value Customers
C0198,95692.983,5,19138.596599999997,5,280,95692.98299999998,At-Risk Customers
C0199,105754.58649999999,4,26438.646624999998,4,160,105754.58649999999,High-Value Customers
C0200,66797.193,2,33398.5965,2,198,66797.193,At-Risk Customers
C0201,125389.02399999999,5,25077.804799999998,5,155,125389.02399999999,High-Value Customers
C0202,264974.67,8,33121.83375,8,7,264974.67,VIP Customers
C0203,28941.532000000003,1,28941.532000000003,1,168,28941.532000000003,Low-Value Customers
C0204,70894.532,4,17723.633,4,141,70894.532,Regular Customers
C0205,136727.041,6,22787.840166666665,6,46,136727.041,High-Value Customers
C0206,49414.141,2,24707.0705,2,65,49414.141,Regular Customers
C0207,182395.18,7,26056.454285714284,7,25,182395.18,VIP Customers
C0208,206301.2955,7,29471.613642857144,7,264,206301.2955,At-Risk Customers
C0209,134534.508,5,26906.9016,5,24,134534.508,High-Value Customers
C0210,66683.95,2,33341.975,2,128,66683.95,Regular Customers
C0211,204670.7635,7,29238.6805,7,267,204670.7635,At-Risk Customers
C0212,69937.3205,4,17484.330125,4,242,69937.3205,At-Risk Customers
C0213,187995.3495,7,26856.4785,7,45,187995.3495,VIP Customers
C0215,134839.30049999998,6,22473.216749999996,6,33,134839.30049999998,High-Value Customers
C0216,149813.2475,6,24968.874583333334,6,22,149813.2475,High-Value Customers
C0217,53510.4685,3,17836.822833333335,3,217,53510.4685,At-Risk Customers
C0218,134753.344,7,19250.477714285717,7,61,134753.344,High-Value Customers
C0219,87671.8165,4,21917.954125,4,74,87671.8165,High-Value Customers
C0220,98468.5685,6,16411.428083333332,6,72,98468.5685,High-Value Customers
C0221,85226.28600000001,4,21306.571500000002,4,53,85226.28600000001,High-Value Customers
C0222,200401.6085,5,40080.3217,5,146,200401.6085,VIP Customers
C0223,128373.293,6,21395.548833333334,6,137,128373.293,High-Value Customers
C0224,132923.3125,7,18989.04464285714,7,80,132923.3125,High-Value Customers
C0225,160280.7435,6,26713.457250000003,6,15,160280.7435,VIP Customers
C0226,83501.057,5,16700.2114,5,153,83501.057,High-Value Customers
C0227,262101.52349999998,7,37443.074785714285,7,127,262101.5235,VIP Customers
C0228,102363.6225,4,25590.905625,4,38,102363.6225,High-Value Customers
C0229,65779.3465,4,16444.836625,4,116,65779.3465,Regular Customers
C0230,60315.743,3,20105.247666666666,3,252,60315.743,At-Risk Customers
C0231,87757.4785,4,21939.369625,4,118,87757.4785,High-Value Customers
C0232,154207.3885,6,25701.231416666666,6,105,154207.3885,VIP Customers
C0233,10654.816,1,10654.816,1,487,10654.816,Inactive Customers
C0234,108884.939,5,21776.9878,5,417,108884.939,Inactive Customers
C0235,133007.6715,6,22167.94525,6,246,133007.6715,At-Risk Customers
C0236,95739.7095,5,19147.941899999998,5,4,95739.7095,High-Value Customers
C0237,144788.035,3,48262.67833333334,3,88,144788.035,High-Value Customers
C0238,82082.573,5,16416.514600000002,5,43,82082.573,High-Value Customers
C0239,139692.09399999998,6,23282.015666666663,6,41,139692.09399999998,High-Value Customers
C0240,166244.589,5,33248.9178,5,208,166244.589,At-Risk Customers
C0241,113022.0025,5,22604.4005,5,120,113022.0025,High-Value Customers
C0242,96522.351,4,24130.58775,4,91,96522.351,High-Value Customers
C0244,42057.371,2,21028.6855,2,56,42057.371,Regular Customers
C0245,145956.559,5,29191.311800000003,5,119,145956.559,High-Value Customers
C0246,126011.667,3,42003.889,3,424,126011.66700000002,Inactive Customers
C0247,93941.81999999999,5,18788.363999999998,5,124,93941.81999999999,High-Value Customers
C0248,194624.327,6,32437.38783333333,6,11,194624.327,VIP Customers
C0249,160204.7295,7,22886.389928571425,7,105,160204.7295,VIP Customers
C0250,72652.188,2,36326.094,2,385,72652.188,Inactive Customers
C0251,116317.9975,4,29079.499375,4,301,116317.9975,At-Risk Customers
C0252,81696.614,4,20424.1535,4,190,81696.614,At-Risk Customers
C0253,287835.6575,9,31981.73972222222,9,234,287835.6575,At-Risk Customers
C0254,141928.891,5,28385.7782,5,36,141928.891,High-Value Customers
C0255,89221.695,4,22305.42375,4,26,89221.695,High-Value Customers
C0256,17528.7755,1,17528.7755,1,412,17528.7755,Inactive Customers
C0257,198776.377,7,28396.625285714286,7,52,198776.377,VIP Customers
C0258,198639.711,4,49659.92775,4,60,198639.711,High-Value Customers
C0259,28223.28,1,28223.28,1,594,28223.28,Inactive Customers
C0260,167224.2865,6,27870.714416666666,6,117,167224.2865,VIP Customers
C0261,113311.7405,6,18885.290083333333,6,223,113311.7405,At-Risk Customers
C0262,143538.57200000001,7,20505.51028571429,7,161,143538.57200000001,High-Value Customers
C0263,91704.7525,3,30568.250833333335,3,146,91704.7525,High-Value Customers
C0264,236828.572,9,26314.285777777775,9,6,236828.572,VIP Customers
C0265,88122.4415,3,29374.147166666666,3,24,88122.4415,High-Value Customers
C0266,175240.249,7,25034.321285714286,7,189,175240.249,At-Risk Customers
C0267,172137.856,7,24591.122285714286,7,17,172137.856,VIP Customers
C0268,70273.3915,2,35136.69575,2,272,70273.3915,At-Risk Customers
C0269,180567.661,5,36113.5322,5,251,180567.66100000002,At-Risk Customers
C0270,63763.672999999995,5,12752.7346,5,6,63763.672999999995,Regular Customers
C0271,105639.099,5,21127.8198,5,72,105639.099,High-Value Customers
C0272,145179.823,5,29035.9646,5,121,145179.823,High-Value Customers
C0273,126728.735,4,31682.18375,4,120,126728.735,High-Value Customers
C0274,55798.439,4,13949.60975,4,172,55798.439,Regular Customers
C0275,61285.71,2,30642.855,2,183,61285.71,At-Risk Customers
C0276,93579.185,4,23394.79625,4,68,93579.185,High-Value Customers
C0277,66287.424,3,22095.808,3,264,66287.424,At-Risk Customers
C0278,66166.893,3,22055.630999999998,3,229,66166.893,At-Risk Customers
C0279,82851.866,3,27617.288666666664,3,199,82851.866,At-Risk Customers
C0280,101424.979,3,33808.32633333334,3,98,101424.97900000002,High-Value Customers
C0281,95848.97350000001,3,31949.657833333335,3,75,95848.97350000001,High-Value Customers
C0282,262007.1875,8,32750.8984375,8,26,262007.1875,VIP Customers
C0283,75523.049,5,15104.6098,5,109,75523.049,High-Value Customers
C0284,104217.598,5,20843.5196,5,98,104217.598,High-Value Customers
C0285,135320.6975,5,27064.1395,5,15,135320.6975,High-Value Customers
C0286,93990.38,4,23497.595,4,5,93990.38,High-Value Customers
C0287,21714.473,1,21714.473,1,46,21714.473,Low-Value Customers
C0288,102973.924,3,34324.64133333333,3,23,102973.924,High-Value Customers
C0289,40616.914,2,20308.457,2,19,40616.914,Regular Customers
C0290,164185.03,6,27364.171666666665,6,36,164185.03,VIP Customers
C0291,214596.50400000002,7,30656.64342857143,7,103,214596.50400000002,VIP Customers
C0292,66677.281,3,22225.760333333335,3,39,66677.281,Regular Customers
C0293,93707.5385,3,31235.846166666666,3,80,93707.5385,High-Value Customers
C0294,96175.932,4,24043.983,4,159,96175.932,High-Value Customers
C0295,105053.5095,5,21010.7019,5,109,105053.5095,High-Value Customers
C0296,54795.957500000004,2,27397.978750000002,2,68,54795.957500000004,Regular Customers
C0297,106282.64,4,26570.66,4,34,106282.64,High-Value Customers
C0298,7327.663,1,7327.663,1,204,7327.663,At-Risk Customers
C0299,116415.90299999999,5,23283.1806,5,80,116415.90299999999,High-Value Customers
C0300,131583.3905,5,26316.6781,5,178,131583.3905,High-Value Customers
C0301,106878.5615,4,26719.640375,4,135,106878.5615,High-Value Customers
C0302,43783.7635,3,14594.587833333333,3,514,43783.7635,Inactive Customers
C0303,86383.545,3,28794.515,3,15,86383.545,High-Value Customers
C0304,165785.248,6,27630.874666666667,6,43,165785.248,VIP Customers
C0305,81419.1905,4,20354.797625,4,270,81419.1905,At-Risk Customers
C0306,163186.098,6,27197.683,6,15,163186.098,VIP Customers
C0307,153879.5725,6,25646.595416666667,6,219,153879.5725,At-Risk Customers
C0308,152605.346,6,25434.22433333333,6,123,152605.346,VIP Customers
C0309,118839.575,6,19806.595833333333,6,49,118839.575,High-Value Customers
C0310,238032.2085,6,39672.03475,6,77,238032.2085,VIP Customers
C0311,108739.4325,4,27184.858125,4,53,108739.4325,High-Value Customers
C0312,23000.076,2,11500.038,2,41,23000.076,Low-Value Customers
C0313,50774.551,2,25387.2755,2,146,50774.551,Regular Customers
C0314,209485.406,6,34914.234333333334,6,14,209485.40600000002,VIP Customers
C0315,107146.277,5,21429.255400000002,5,65,107146.277,High-Value Customers
C0316,64491.0065,3,21497.00216666667,3,360,64491.0065,At-Risk Customers
C0317,128473.5595,5,25694.711900000002,5,2,128473.5595,High-Value Customers
C0318,50308.515,2,25154.2575,2,250,50308.515,At-Risk Customers
C0319,72441.4705,5,14488.2941,5,32,72441.4705,Regular Customers
C0320,119084.2615,7,17012.037357142857,7,49,119084.2615,High-Value Customers
C0321,72498.782,2,36249.391,2,122,72498.782,Regular Customers
C0322,100229.6605,4,25057.415125,4,270,100229.6605,At-Risk Customers
C0323,93664.00749999999,3,31221.33583333333,3,127,93664.00749999999,High-Value Customers
C0324,22256.8635,1,22256.8635,1,175,22256.8635,Low-Value Customers
C0325,60624.6195,2,30312.30975,2,27,60624.6195,Regular Customers
C0326,165311.45,6,27551.908333333336,6,145,165311.45,VIP Customers
C0327,172107.208,5,34421.441600000006,5,121,172107.20800000004,VIP Customers
C0328,99210.3345,4,24802.583625,4,209,99210.3345,At-Risk Customers
C0329,117343.4245,3,39114.474833333334,3,17,117343.4245,High-Value Customers
C0330,123198.339,5,24639.667800000003,5,31,123198.339,High-Value Customers
C0331,60579.683,2,30289.8415,2,87,60579.683,Regular Customers
C0332,64587.9635,3,21529.321166666665,3,29,64587.9635,Regular Customers
C0333,66994.682,2,33497.341,2,183,66994.682,At-Risk Customers
C0334,35372.064,2,17686.032,2,548,35372.064,Inactive Customers
C0335,219700.2535,6,36616.70891666666,6,4,219700.2535,VIP Customers
C0336,104714.598,3,34904.866,3,120,104714.598,High-Value Customers
C0337,74783.545,4,18695.88625,4,174,74783.545,Regular Customers
C0338,142590.8425,4,35647.710625,4,51,142590.8425,High-Value Customers
C0339,102383.462,3,34127.82066666667,3,93,102383.462,High-Value Customers
C0340,106514.3275,3,35504.77583333333,3,171,106514.3275,High-Value Customers
C0341,92011.31049999999,4,23002.827624999998,4,286,92011.31049999999,At-Risk Customers
C0342,48337.046,3,16112.348666666667,3,16,48337.046,Regular Customers
C0343,34674.956000000006,2,17337.478000000003,2,114,34674.956000000006,Regular Customers
C0344,55456.099,3,18485.366333333335,3,35,55456.099,Regular Customers
C0345,101167.83099999999,4,25291.957749999998,4,236,101167.83099999999,At-Risk Customers
C0346,80134.1945,5,16026.838899999999,5,67,80134.1945,High-Value Customers
C0347,98111.325,3,32703.774999999998,3,1,98111.325,High-Value Customers
C0348,28632.7885,2,14316.39425,2,83,28632.7885,Low-Value Customers
C0349,15763.5955,1,15763.5955,1,104,15763.5955,Low-Value Customers
C0350,73680.93849999999,2,36840.469249999995,2,120,73680.93849999999,Regular Customers
C0351,26710.352,1,26710.352,1,465,26710.352,Inactive Customers
C0352,31951.271,2,15975.6355,2,52,31951.271,Regular Customers
C0353,225083.438,8,28135.42975,8,138,225083.438,VIP Customers
C0354,137148.6545,5,27429.730900000002,5,101,137148.6545,High-Value Customers
C0355,171032.826,5,34206.5652,5,183,171032.826,At-Risk Customers
C0356,197162.696,8,24645.337,8,8,197162.696,VIP Customers
C0357,150176.698,4,37544.1745,4,413,150176.698,Inactive Customers
C0358,49281.193,4,12320.29825,4,112,49281.193,Regular Customers
C0359,73777.032,2,36888.516,2,88,73777.032,Regular Customers
C0360,90281.72,4,22570.43,4,133,90281.72,High-Value Customers
C0361,146132.9235,6,24355.487250000002,6,44,146132.9235,High-Value Customers
C0362,131316.8015,5,26263.3603,5,5,131316.8015,High-Value Customers
C0363,144890.3035,4,36222.575875,4,135,144890.3035,High-Value Customers
C0364,47790.188,2,23895.094,2,252,47790.188,At-Risk Customers
C0365,215939.147,8,26992.393375,8,98,215939.147,VIP Customers
C0366,102192.6085,4,25548.152125,4,122,102192.6085,High-Value Customers
C0367,113863.61,6,18977.268333333333,6,112,113863.61,High-Value Customers
C0368,60058.613,3,20019.537666666667,3,28,60058.613,Regular Customers
C0369,148868.971,7,21266.995857142854,7,7,148868.971,High-Value Customers
C0370,100603.0915,5,20120.6183,5,31,100603.0915,High-Value Customers
C0371,114855.98049999999,4,28713.995124999998,4,177,114855.98049999999,High-Value Customers
C0372,68673.442,3,22891.14733333333,3,283,68673.442,At-Risk Customers
C0373,45633.633,3,15211.211000000001,3,394,45633.633,Inactive Customers
C0374,187610.681,7,26801.52585714286,7,83,187610.681,VIP Customers
C0375,103082.3125,5,20616.4625,5,220,103082.3125,At-Risk Customers
C0376,204647.048,8,25580.881,8,102,204647.048,VIP Customers
C0377,91939.62,3,30646.539999999997,3,261,91939.62,At-Risk Customers
C0378,227056.8745,6,37842.81241666667,6,59,227056.8745,VIP Customers
C0379,72922.727,5,14584.545399999999,5,52,72922.727,Regular Customers
C0380,159411.268,6,26568.54466666667,6,49,159411.268,VIP Customers
C0381,89015.562,4,22253.8905,4,41,89015.562,High-Value Customers
C0382,138808.977,7,19829.853857142858,7,44,138808.977,High-Value Customers
C0383,185650.5835,8,23206.3229375,8,33,185650.5835,VIP Customers
C0384,38978.256,4,9744.564,4,49,38978.256,Regular Customers
C0385,45019.059,3,15006.353000000001,3,198,45019.059,At-Risk Customers
C0386,216869.071,11,19715.37009090909,11,73,216869.071,VIP Customers
C0387,46346.258,2,23173.129,2,434,46346.258,Inactive Customers
