return_id,order_id,product_id,return_date,return_reason,refund_amount
RET00048,O00648,P009,2026-02-14,Changed Mind,11956.75
RET00049,O00878,P071,2026-04-03,Wrong Item,13312.5
RET00050,O01374,P040,2025-04-15,Quality Issue,9385.63
RET00051,O00847,P006,2026-09-08,Late Delivery,10846.02
RET00052,O01709,P039,2026-05-26,Damaged,5763.39
RET00053,O00513,P075,2025-06-02,Late Delivery,5920.41
RET00054,O02088,P056,2025-08-16,Wrong Item,9672.03
RET00055,O00158,P054,2025-07-09,Changed Mind,21676.64
RET00056,O00436,P022,2025-09-02,Wrong Item,5363.2
RET00057,O01057,P018,2026-07-27,Damaged,2663.7
RET00058,O00702,P001,2025-11-25,Quality Issue,14421.11
RET00059,O01954,P074,2025-10-30,Wrong Item,24898.44
RET00060,O00789,P020,2026-05-26,Quality Issue,4867.72
RET00061,O01475,P044,2025-10-02,Wrong Item,7598.29
RET00062,O00319,P016,2026-07-27,Late Delivery,13799.41
RET00063,O00595,P055,2026-05-12,Changed Mind,5467.41
RET00064,O01141,P047,2025-07-28,Late Delivery,23627.07
RET00065,O00614,P004,2026-03-01,Changed Mind,10552.98
RET00066,O01968,P050,2025-12-05,Changed Mind,2382.7
RET00067,O02081,P052,2025-09-16,Damaged,22396.12
RET00068,O01011,P013,2026-08-08,Quality Issue,1163.84
RET00069,O00984,P021,2025-10-17,Late Delivery,4275.42
RET00070,O00990,P024,2025-05-07,Damaged,4963.14
RET00071,O01354,P025,2025-10-23,Quality Issue,8831.24
RET00072,O01543,P007,2025-12-25,Damaged,15522.2
RET00073,O01035,P058,2025-05-13,Changed Mind,7821.38
RET00074,O01108,P017,2026-05-05,Late Delivery,5112.9
RET00075,O01376,P050,2025-07-12,Damaged,10060.27
RET00076,O01066,P060,2025-04-23,Late Delivery,6690.85
RET00077,O00792,P054,2026-01-06,Wrong Item,10838.32
RET00078,O01142,P049,2025-06-02,Late Delivery,8664.88
RET00079,O00665,P027,2026-05-28,Damaged,13629.48
RET00080,O00008,P013,2025-04-09,Damaged,-2826.47
RET00081,O02129,P071,2025-10-30,Changed Mind,2802.63
RET00082,O00819,P045,2025-03-31,Changed Mind,4385.28
RET00083,O01068,P051,2025-10-09,Damaged,2643.49
RET00084,O01498,P048,2026-08-24,Damaged,4310.39
RET00085,O00832,P017,2026-03-13,Wrong Item,4857.25
RET00086,O02112,P070,2026-01-05,Damaged,8479.87
RET00087,O01394,P036,2025-05-31,Changed Mind,3644.73
RET00088,O00231,P018,2025-08-29,Changed Mind,13318.52
RET00089,O01594,P041,2025-10-07,Changed Mind,1195.62
RET00090,O01423,P016,2026-01-30,Quality Issue,10924.53
RET00091,O01593,P047,2025-06-29,Changed Mind,12435.3
RET00092,O01227,P066,2026-10-01,Quality Issue,10569.8
RET00093,O00017,P047,2026-03-13,Changed Mind,16787.66
RET00094,O00445,P040,2025-08-28,Quality Issue,16718.16
RET00095,O01109,P039,2025-05-05,Changed Mind,10085.94
RET00096,O01310,P045,2026-02-09,Changed Mind,21926.4
RET00097,O01215,P027,2025-11-15,Changed Mind,4543.16
RET00098,O00586,P005,2026-03-26,Late Delivery,5312.54
RET00099,O01181,P014,2026-02-09,Wrong Item,9395.66
RET00100,O00831,P044,2026-03-07,Late Delivery,3799.14
RET00101,O01902,P046,2026-06-27,Damaged,24665.08
RET00102,O01804,P067,2025-12-30,Quality Issue,8946.63
RET00103,O00264,P015,2026-04-25,Quality Issue,27857.08
RET00104,O00125,P010,2025-09-25,Late Delivery,28280.74
RET00105,O00295,P029,2026-08-29,Damaged,10863.12
RET00106,O00225,P007,2025-10-23,Wrong Item,3298.47
RET00107,O00332,P004,2026-03-30,Quality Issue,9610.75
RET00108,O01052,P005,2026-10-01,Late Delivery,9961.02
RET00109,O00982,P009,2025-09-19,Quality Issue,7971.17
RET00110,O01022,P024,2025-04-28,Changed Mind,13028.23
RET00111,O00191,P035,2025-07-13,Damaged,7690.94
RET00112,O01088,P002,2025-07-20,Late Delivery,3604.12
RET00113,O00866,P075,2025-04-02,Changed Mind,6578.23
RET00114,O01442,P028,2026-01-10,Damaged,24240.28
RET00115,O01029,P037,2025-08-09,Changed Mind,2657.09
RET00116,O00396,P035,2025-04-26,Damaged,16343.26
RET00117,O01000,P018,2025-05-19,Quality Issue,3163.15
RET00118,O01352,P040,2025-08-06,Changed Mind,11145.44
RET00119,O00873,P024,2025-10-01,Late Delivery,24815.68
RET00120,O02067,P046,2026-09-17,Damaged,4543.57
RET00121,O01736,P032,2026-04-12,Wrong Item,6292.09
RET00122,O00765,P029,2026-04-19,Changed Mind,7623.24
RET00123,O00324,P065,2026-04-06,Wrong Item,4335.59
RET00124,O01634,P056,2026-06-09,Changed Mind,9103.09
RET00125,O01974,P080,2025-09-01,Damaged,4461.41
RET00126,O00772,P067,2025-04-27,Damaged,6278.34
RET00127,O01276,P061,2025-12-20,Quality Issue,15955.27
RET00128,O00217,P031,2025-03-01,Changed Mind,18702.0
RET00129,O02132,P025,2025-07-04,Wrong Item,2943.75
RET00130,O01426,P010,2026-05-11,Late Delivery,20094.21
RET00131,O00002,P059,2025-12-17,Late Delivery,9200.96
RET00132,O02122,P025,2026-04-05,Damaged,3107.29
RET00133,O00916,P018,2025-12-21,Wrong Item,11320.74
RET00134,O02162,P036,2026-01-09,Quality Issue,3261.08
RET00135,O01501,P027,2025-08-22,Quality Issue,5111.06
RET00136,O00892,P003,2025-07-05,Wrong Item,8800.18
RET00137,O00305,P078,2025-07-29,Quality Issue,13517.66
RET00138,O00516,P059,2026-06-06,Late Delivery,4116.22
RET00139,O01997,P054,2026-09-20,Wrong Item,5704.38
RET00140,O01225,P012,2025-04-17,Wrong Item,11383.84
RET00141,O00118,P018,2026-01-06,Changed Mind,11320.74
RET00142,O02178,P060,2025-11-28,Quality Issue,1232.52
RET00143,O01731,P029,2026-01-21,Changed Mind,12959.51
RET00144,O00218,P022,2025-07-14,Changed Mind,15195.73
RET00145,O01323,P033,2025-03-05,Changed Mind,7738.47
RET00146,O00011,P038,2025-06-26,Changed Mind,7920.44
RET00147,O01041,P018,2025-06-14,Changed Mind,7991.11
RET00148,O00271,P062,2025-03-31,Quality Issue,2791.4
RET00149,O01249,P044,2025-09-23,Quality Issue,4511.48
RET00150,O01566,P014,2026-04-01,Wrong Item,18791.32
RET00151,O01123,P056,2026-09-12,Quality Issue,17068.29
RET00152,O00517,P029,2026-03-17,Changed Mind,10672.54
RET00153,O01095,P079,2025-06-10,Changed Mind,7037.58
RET00154,O01069,P046,2025-09-27,Changed Mind,10385.3
RET00155,O02018,P032,2025-08-23,Wrong Item,25168.35
RET00156,O01641,P020,2025-07-02,Changed Mind,4099.14
RET00157,O00682,P060,2026-09-26,Quality Issue,3697.58
RET00158,O02095,P046,2026-03-16,Wrong Item,15577.94
RET00159,O00547,P029,2025-12-05,Damaged,10291.37
RET00160,O00369,P026,2025-11-09,Wrong Item,13949.34
RET00161,O01386,P024,2025-09-01,Changed Mind,23574.9
RET00162,O01290,P039,2025-10-28,Wrong Item,3241.91
RET00163,O00323,P047,2026-03-03,Damaged,22383.54
RET00164,O01044,P032,2026-08-21,Wrong Item,18545.1
RET00165,O01262,P036,2025-12-13,Late Delivery,5467.1
RET00166,O00207,P019,2025-06-16,Damaged,2645.68
RET00167,O01626,P010,2026-09-07,Damaged,20094.21
RET00168,O01590,P052,2025-08-30,Quality Issue,11198.06
RET00169,O00791,P064,2025-04-18,Wrong Item,3781.11
RET00170,O00320,P001,2026-01-10,Late Delivery,4048.03
RET00171,O01876,P051,2026-06-02,Wrong Item,2954.49
RET00172,O00386,P073,2025-07-28,Quality Issue,5934.92
RET00173,O00872,P080,2025-08-09,Wrong Item,17845.63
RET00174,O01645,P045,2025-08-15,Wrong Item,4385.28
RET00175,O01317,P019,2026-06-11,Wrong Item,11827.77
RET00176,O00359,P053,2026-09-07,Wrong Item,6032.11
RET00177,O01206,P030,2026-07-05,Changed Mind,18828.52
RET00178,O01458,P072,2025-07-10,Changed Mind,7901.58
RET00179,O00009,P059,2026-07-06,Damaged,13801.44
RET00180,O00944,P063,2025-08-27,Quality Issue,9450.17
RET00181,O00422,P014,2026-07-16,Wrong Item,14093.49
RET00182,O01093,P045,2026-09-27,Late Delivery,15622.56
RET00183,O02029,P054,2026-04-21,Damaged,10838.32
RET00184,O01971,P031,2026-09-05,Quality Issue,7874.53
RET00185,O02070,P008,2025-05-22,Wrong Item,4179.74
RET00186,O00390,P014,2026-03-15,Wrong Item,18791.32
RET00187,O01328,P030,2025-03-31,Late Delivery,24208.09
RET00188,O00790,P027,2026-03-14,Quality Issue,18172.64
RET00189,O00294,P057,2025-09-14,Wrong Item,6514.07
RET00190,O01808,P022,2026-09-14,Late Delivery,16685.51
RET00191,O00039,P060,2025-12-13,Changed Mind,1496.64
RET00192,O01387,P019,2026-05-17,Damaged,2801.31
RET00193,O01870,P049,2025-08-23,Quality Issue,18567.6
RET00194,O00986,P074,2025-04-13,Quality Issue,20504.6
RET00195,O00860,P007,2026-05-05,Quality Issue,3104.44
RET00196,O00800,P053,2025-07-07,Wrong Item,7196.2
RET00197,O02009,P074,2026-04-24,Late Delivery,23433.82
RET00198,O02045,P022,2025-11-25,Late Delivery,5959.11
RET00199,O00844,P047,2026-09-15,Damaged,13057.06
RET00200,O00041,P030,2025-09-21,Late Delivery,13448.94
RET00201,O00134,P052,2025-10-19,Late Delivery,22396.12
RET00202,O00494,P024,2026-05-04,Wrong Item,5893.72
RET00203,O01964,P013,2026-05-30,Quality Issue,5652.94
RET00204,O01084,P021,2025-05-12,Damaged,15231.17
RET00205,O00161,P011,2026-05-04,Wrong Item,6746.23
RET00206,O01373,P005,2025-12-11,Wrong Item,9462.97
RET00207,O00696,P079,2026-09-25,Late Delivery,3753.38
RET00208,O01988,P065,2026-03-02,Damaged,3879.21
RET00209,O01094,P058,2026-05-23,Wrong Item,11041.94
RET00210,O02115,P045,2025-09-16,Quality Issue,5207.52
RET00211,O02055,P069,2025-08-12,Late Delivery,5033.2
RET00212,O00519,P025,2026-05-30,Late Delivery,5560.41
RET00213,O00434,P072,2025-03-09,Late Delivery,12394.64
RET00214,O00977,P077,2026-01-31,Wrong Item,1758.24
RET00215,O00395,P010,2026-09-13,Wrong Item,15628.83
RET00216,O01822,P009,2026-09-26,Quality Issue,14945.94
RET00217,O01419,P041,2026-04-20,Wrong Item,2839.59
RET00218,O01915,P031,2025-12-14,Damaged,3937.26
RET00219,O01551,P053,2026-06-15,Late Delivery,3386.45
RET00220,O00139,P017,2025-03-09,Damaged,16361.28
RET00221,O01722,P002,2026-06-04,Damaged,10812.36
RET00222,O01992,P006,2025-06-19,Late Delivery,14461.36
RET00223,O01853,P013,2026-05-01,Changed Mind,1496.37
RET00224,O01379,P055,2025-09-18,Changed Mind,15621.16
RET00225,O00460,P058,2026-05-10,Damaged,13112.31
RET00226,O01844,P053,2026-02-13,Wrong Item,7196.2
RET00227,O00389,P022,2026-08-22,Wrong Item,9534.58
RET00228,O00835,P008,2026-05-31,Changed Mind,4179.74
RET00229,O00185,P068,2026-08-13,Quality Issue,21176.41
RET00230,O00450,P078,2025-05-27,Wrong Item,12015.7
RET00231,O01663,P021,2025-10-06,Changed Mind,17101.66
RET00232,O01311,P029,2025-11-09,Changed Mind,3621.04
RET00233,O02142,P075,2025-03-18,Changed Mind,12498.64
RET00234,O01546,P005,2025-03-14,Damaged,6972.71
RET00235,O01557,P048,2025-03-23,Changed Mind,17241.56
RET00236,O01081,P044,2026-05-19,Wrong Item,7598.29
RET00237,O00309,P030,2025-11-15,Wrong Item,22863.2
RET00238,O01300,P070,2026-05-10,Late Delivery,9477.5
RET00239,O02000,P012,2026-06-28,Quality Issue,6790.36
RET00240,O02093,P066,2025-03-21,Changed Mind,18652.59
RET00241,O00005,P020,2026-07-05,Wrong Item,16396.54
RET00242,O00408,P064,2025-07-09,Late Delivery,8980.14
RET00243,O01233,P057,2025-10-21,Wrong Item,10313.95
RET00244,O01082,P004,2026-09-10,Damaged,3768.92
RET00245,O01247,P009,2025-08-22,Wrong Item,18931.52
RET00246,O00929,P004,2026-08-28,Damaged,10552.98
RET00247,O00914,P017,2025-12-19,Quality Issue,4857.25
RET00248,O01014,P060,2025-03-08,Damaged,4930.1
RET00249,O00833,P009,2026-06-26,Wrong Item,17935.13
RET00250,O01661,P018,2025-03-26,Changed Mind,5660.37
RET00251,O00718,P043,2026-03-05,Damaged,17409.48
RET00252,O01777,P004,2025-11-21,Quality Issue,10741.42
RET00253,O01753,P034,2025-05-21,Changed Mind,17856.87
RET00254,O01040,P013,2025-12-24,Quality Issue,3325.26
RET00255,O02195,P065,2025-09-27,Damaged,3651.02
RET00256,O00181,P005,2025-04-27,Damaged,2656.27
RET00257,O01550,P055,2026-01-17,Late Delivery,11130.08
RET00258,O00695,P017,2025-03-26,Changed Mind,10737.09
RET00259,O00948,P077,2026-01-07,Wrong Item,5552.34
RET00260,O00927,P001,2025-07-10,Late Delivery,16192.13
