order_item_id,order_id,product_id,quantity,unit_price,discount
OI000106,O00043,P047,1,6217.65,0.15
OI000107,O00044,P030,1,6724.47,0.1
OI000108,O00045,P072,2,3098.66,0.0
OI000109,O00045,P044,4,4748.93,0.3
OI000110,O00045,P038,2,2828.73,0.15
OI000111,O00045,P017,4,5112.9,0.15
OI000112,O00046,P073,1,6594.36,0.1
OI000113,O00046,P067,3,3139.17,0.05
OI000114,O00047,P007,3,3880.55,0.2
OI000115,O00047,P052,1,5599.03,0.15
OI000116,O00047,P046,2,6490.81,0.1
OI000117,O00048,P002,4,3793.81,0.0
OI000118,O00048,P001,2,5060.04,0.1
OI000119,O00048,P036,2,1918.28,0.0
OI000120,O00049,P022,4,5959.11,0.3
OI000121,O00049,P052,1,5599.03,0.15
OI000122,O00049,P045,2,5481.6,0.3
OI000123,O00049,P061,4,5698.31,0.3
OI000124,O00050,P026,3,5470.33,0.2
OI000125,O00051,P011,2,7495.81,0.1
OI000126,O00051,P080,4,5576.76,0.0
OI000127,O00052,P041,4,1494.52,0.05
OI000128,O00052,P076,2,1644.18,0.1
OI000129,O00052,P022,3,5959.11,0.3
OI000130,O00052,P073,3,6594.36,0.2
OI000131,O00053,P017,2,5112.9,0.1
OI000132,O00053,P035,2,4806.84,0.2
OI000133,O00053,P013,4,1662.63,0.2
OI000134,O00054,P033,3,2579.49,0.15
OI000135,O00055,P035,1,4806.84,0.15
OI000136,O00055,P033,1,2579.49,0.2
OI000137,O00056,P053,1,2116.53,0.05
OI000138,O00056,P075,3,6578.23,0.15
OI000139,O00056,P040,4,5866.02,0.15
OI000140,O00056,P031,4,4921.58,0.15
OI000141,O00057,P036,2,1918.28,0.15
OI000142,O00057,P057,2,3618.93,0.2
OI000143,O00058,P024,4,6203.92,0.2
OI000144,O00058,P068,4,7430.32,0.3
OI000145,O00058,P079,1,2345.86,0.15
OI000146,O00058,P032,1,6623.25,0.05
OI000147,O00059,P055,3,3905.29,0.2
OI000148,O00060,P027,3,5678.95,0.2
OI000149,O00061,P032,1,6623.25,0.3
OI000150,O00061,P066,2,6217.53,0.1
OI000151,O00061,P001,3,5060.04,0.05
OI000152,O00061,P006,3,4253.34,0.1
OI000153,O00062,P001,3,5060.04,0.0
OI000154,O00062,P032,1,6623.25,0.15
OI000155,O00063,P011,1,7495.81,0.05
OI000156,O00063,P060,2,1760.75,0.2
OI000157,O00064,P065,2,1521.26,0.0
OI000158,O00065,P007,3,3880.55,0.0
OI000159,O00065,P042,3,5125.64,0.05
OI000160,O00065,P076,4,1644.18,0.15
OI000161,O00065,P011,1,7495.81,0.3
OI000162,O00066,P022,4,5959.11,0.15
OI000163,O00066,P075,4,6578.23,0.0
OI000164,O00067,P032,4,6623.25,0.15
OI000165,O00067,P020,2,5123.92,0.1
OI000166,O00067,P023,3,6282.87,0.05
OI000167,O00068,P055,2,3905.29,0.15
OI000168,O00068,P020,4,5123.92,0.05
OI000169,O00068,P047,3,6217.65,0.2
OI000170,O00069,P072,3,3098.66,0.0
OI000171,O00069,P031,4,4921.58,0.15
OI000172,O00070,P027,4,5678.95,0.0
OI000173,O00070,P028,1,6060.07,0.2
OI000174,O00070,P047,4,6217.65,0.1
OI000175,O00070,P057,3,3618.93,0.3
OI000176,O00071,P080,2,5576.76,0.1
OI000177,O00071,P018,3,3329.63,0.05
OI000178,O00072,P016,4,3833.17,0.15
OI000179,O00072,P039,3,3602.12,0.3
OI000180,O00072,P054,3,5704.38,0.2
OI000181,O00073,P050,4,2647.44,0.3
OI000182,O00073,P039,1,3602.12,0.2
OI000183,O00073,P024,4,6203.92,0.15
OI000184,O00074,P042,1,5125.64,0.2
OI000185,O00074,P070,2,4988.16,0.05
OI000186,O00075,P010,4,7442.3,0.05
OI000187,O00075,P004,1,3768.92,0.2
OI000188,O00075,P037,2,3125.99,0.2
OI000189,O00075,P018,1,3329.63,0.2
OI000190,O00076,P009,3,4981.98,0.0
OI000191,O00076,P072,3,3098.66,0.05
OI000192,O00076,P033,3,2579.49,0.3
OI000193,O00077,P016,3,3833.17,0.1
OI000194,O00077,P038,2,2828.73,0.2
OI000195,O00077,P028,2,6060.07,0.05
OI000196,O00078,P060,2,1760.75,0.05
OI000197,O00078,P051,2,3109.99,0.15
OI000198,O00078,P069,3,5592.45,0.0
OI000199,O00079,P079,2,2345.86,0.3
OI000200,O00079,P029,2,3811.62,0.0
OI000201,O00079,P069,1,5592.45,0.15
OI000202,O00079,P058,3,4600.81,0.3
OI000203,O00080,P041,4,1494.52,0.15
OI000204,O00080,P004,3,3768.92,0.2
OI000205,O00080,P044,3,4748.93,0.05
OI000206,O00080,P064,2,4726.39,0.2
OI000207,O00081,P079,4,2345.86,0.05
OI000208,O00081,P019,2,3112.57,0.3
OI000209,O00081,P070,3,4988.16,0.05
OI000210,O00082,P029,3,3811.62,0.2
OI000211,O00083,P013,3,1662.63,0.0
OI000212,O00084,P039,3,3602.12,0.05
OI000213,O00085,P019,2,3112.57,0.0
OI000214,O00086,P030,1,6724.47,0.05
OI000215,O00087,P003,4,6285.84,0.0
OI000216,O00087,P050,1,2647.44,0.05
OI000217,O00087,P049,3,6189.2,0.3
OI000218,O00088,P033,4,2579.49,0.2
OI000219,O00088,P045,2,5481.6,0.3
OI000220,O00088,P005,1,3320.34,0.3
OI000221,O00088,P032,4,6623.25,0.05
OI000222,O00089,P064,1,4726.39,0.05
OI000223,O00089,P013,3,1662.63,0.15
OI000224,O00089,P025,3,3270.83,0.05
OI000225,O00090,P074,2,7323.07,0.0
OI000226,O00091,P001,2,5060.04,0.2
OI000227,O00091,P028,2,6060.07,0.1
OI000228,O00092,P026,4,5470.33,0.1
OI000229,O00092,P047,4,6217.65,0.1
OI000230,O00092,P018,3,3329.63,0.15
OI000231,O00093,P018,2,3329.63,0.2
OI000232,O00093,P042,3,5125.64,0.0
OI000233,O00094,P004,4,3768.92,0.2
OI000234,O00094,P051,4,3109.99,0.1
OI000235,O00094,P035,1,4806.84,0.05
OI000236,O00094,P053,3,2116.53,0.15
OI000237,O00095,P017,4,5112.9,0.2
OI000238,O00096,P006,2,4253.34,0.15
OI000239,O00096,P016,4,3833.17,0.1
OI000240,O00096,P069,3,5592.45,0.3
OI000241,O00096,P024,2,6203.92,0.3
OI000242,O00097,P051,2,3109.99,0.15
OI000243,O00097,P037,4,3125.99,0.1
OI000244,O00097,P069,2,5592.45,0.05
OI000245,O00098,P041,4,1494.52,0.3
OI000246,O00098,P003,1,6285.84,0.0
OI000247,O00098,P047,4,6217.65,0.15
OI000248,O00099,P019,2,3112.57,0.3
OI000249,O00099,P049,4,6189.2,0.05
OI000250,O00100,P076,1,1644.18,0.0
OI000251,O00100,P062,1,1993.86,0.05
OI000252,O00100,P069,3,5592.45,0.1
OI000253,O00101,P020,3,5123.92,0.05
OI000254,O00101,P013,4,1662.63,0.2
OI000255,O00102,P050,2,2647.44,0.15
OI000256,O00102,P065,4,1521.26,0.0
OI000257,O00102,P078,3,5006.54,0.2
OI000258,O00102,P013,3,1662.63,0.05
OI000259,O00103,P044,3,4748.93,0.15
OI000260,O00104,P040,4,5866.02,0.05
OI000261,O00104,P045,2,5481.6,0.0
OI000262,O00104,P005,1,3320.34,0.3
OI000263,O00104,P047,2,6217.65,0.15
OI000264,O00105,P029,2,3811.62,0.05
OI000265,O00105,P031,2,4921.58,0.1
OI000266,O00105,P049,1,6189.2,0.1
OI000267,O00105,P004,4,3768.92,0.15
OI000268,O00106,P018,2,3329.63,0.0
OI000269,O00106,P077,1,1850.78,0.1
OI000270,O00106,P049,4,6189.2,0.2
OI000271,O00107,P046,4,6490.81,0.3
OI000272,O00107,P014,1,5526.86,0.1
OI000273,O00107,P035,3,4806.84,0.2
OI000274,O00107,P033,4,2579.49,0.1
OI000275,O00108,P066,1,6217.53,0.2
OI000276,O00108,P074,4,7323.07,0.1
OI000277,O00108,P024,2,6203.92,0.1
OI000278,O00109,P080,1,5576.76,0.15
OI000279,O00110,P056,4,5689.43,0.15
OI000280,O00111,P069,4,5592.45,0.05
OI000281,O00111,P077,3,1850.78,0.0
OI000282,O00111,P065,4,1521.26,0.15
OI000283,O00112,P018,4,3329.63,0.05
OI000284,O00112,P065,3,1521.26,0.15
OI000285,O00112,P037,3,3125.99,0.3
OI000286,O00113,P014,4,5526.86,0.2
OI000287,O00113,P034,2,5252.02,0.3
OI000288,O00114,P010,1,7442.3,0.3
OI000289,O00115,P049,4,6189.2,0.2
OI000290,O00116,P056,1,5689.43,0.1
OI000291,O00116,P005,2,3320.34,0.15
OI000292,O00116,P032,4,6623.25,0.15
OI000293,O00116,P040,3,5866.02,0.0
OI000294,O00117,P035,3,4806.84,0.3
OI000295,O00117,P010,1,7442.3,0.05
OI000296,O00117,P018,4,3329.63,0.05
OI000297,O00118,P018,4,3329.63,0.15
OI000298,O00118,P039,3,3602.12,0.0
OI000299,O00118,P027,1,5678.95,0.0
OI000300,O00119,P058,3,4600.81,0.05
OI000301,O00119,P027,3,5678.95,0.3
OI000302,O00119,P018,2,3329.63,0.05
OI000303,O00119,P067,2,3139.17,0.3
OI000304,O00120,P072,4,3098.66,0.1
OI000305,O00121,P023,1,6282.87,0.0
OI000306,O00121,P061,4,5698.31,0.1
OI000307,O00121,P070,3,4988.16,0.05
OI000308,O00122,P006,2,4253.34,0.0
OI000309,O00123,P026,2,5470.33,0.1
OI000310,O00123,P043,1,6217.67,0.05
OI000311,O00124,P038,3,2828.73,0.15
OI000312,O00124,P041,2,1494.52,0.2
OI000313,O00124,P075,3,6578.23,0.1
OI000314,O00124,P077,2,1850.78,0.2
OI000315,O00125,P010,4,7442.3,0.05
OI000316,O00126,P056,4,5689.43,0.0
OI000317,O00126,P067,3,3139.17,0.05
OI000318,O00126,P051,4,3109.99,0.0
OI000319,O00127,P016,3,3833.17,0.0
OI000320,O00128,P041,4,1494.52,0.15
OI000321,O00129,P045,3,5481.6,0.0
OI000322,O00129,P052,1,5599.03,0.2
OI000323,O00130,P005,2,3320.34,0.0
OI000324,O00130,P010,3,7442.3,0.15
OI000325,O00131,P071,3,3503.29,0.15
OI000326,O00131,P026,1,5470.33,0.2
OI000327,O00132,P054,1,5704.38,0.3
OI000328,O00132,P014,3,5526.86,0.1
OI000329,O00132,P010,2,7442.3,0.1
OI000330,O00133,P017,3,5112.9,0.05
OI000331,O00133,P059,4,4842.61,0.05
OI000332,O00133,P044,2,4748.93,0.1
OI000333,O00134,P052,4,5599.03,0.0
OI000334,O00134,P014,2,5526.86,0.3
OI000335,O00135,P006,3,4253.34,0.0
OI000336,O00136,P035,2,4806.84,0.1
OI000337,O00136,P068,3,7430.32,0.1
OI000338,O00136,P020,1,5123.92,0.1
OI000339,O00136,P012,3,3994.33,0.0
OI000340,O00137,P006,2,4253.34,0.0
OI000341,O00137,P024,2,6203.92,0.15
OI000342,O00138,P035,4,4806.84,0.0
OI000343,O00138,P008,1,5224.68,0.0
OI000344,O00138,P009,2,4981.98,0.05
OI000345,O00138,P034,1,5252.02,0.05
OI000346,O00139,P017,4,5112.9,0.2
OI000347,O00139,P073,3,6594.36,0.15
OI000348,O00139,P062,3,1993.86,0.05
OI000349,O00139,P002,2,3793.81,0.0
OI000350,O00140,P051,4,3109.99,0.05
OI000351,O00140,P046,1,6490.81,0.05
OI000352,O00140,P035,4,4806.84,0.05
OI000353,O00141,P004,3,3768.92,0.0
OI000354,O00141,P036,3,1918.28,0.2
OI000355,O00141,P068,1,7430.32,0.1
OI000356,O00141,P052,3,5599.03,0.0
OI000357,O00142,P021,2,5344.27,0.2
OI000358,O00142,P004,3,3768.92,0.3
OI000359,O00143,P034,4,5252.02,0.15
OI000360,O00143,P047,2,6217.65,0.15
OI000361,O00143,P067,2,3139.17,0.0
OI000362,O00143,P028,4,6060.07,0.3
OI000363,O00144,P029,1,3811.62,0.3
OI000364,O00144,P059,1,4842.61,0.1
OI000365,O00144,P004,2,3768.92,0.3
OI000366,O00144,P020,3,5123.92,0.3
OI000367,O00145,P069,4,5592.45,0.2
OI000368,O00145,P065,4,1521.26,0.15
OI000369,O00145,P068,4,7430.32,0.2
OI000370,O00146,P014,2,5526.86,0.05
OI000371,O00146,P045,4,5481.6,0.3
OI000372,O00146,P059,1,4842.61,0.1
OI000373,O00147,P016,4,3833.17,0.05
OI000374,O00147,P009,3,4981.98,0.15
OI000375,O00147,P062,3,1993.86,0.05
OI000376,O00147,P015,3,7330.81,0.1
OI000377,O00148,P068,4,7430.32,0.15
OI000378,O00148,P032,2,6623.25,0.3
OI000379,O00148,P054,3,5704.38,0.05
OI000380,O00149,P067,3,3139.17,0.15
OI000381,O00149,P021,1,5344.27,0.15
OI000382,O00150,P014,1,5526.86,0.3
OI000383,O00150,P027,3,5678.95,0.05
OI000384,O00150,P042,4,5125.64,0.05
OI000385,O00150,P056,4,5689.43,0.05
OI000386,O00151,P080,4,5576.76,0.1
OI000387,O00151,P034,2,5252.02,0.15
OI000388,O00152,P032,1,6623.25,0.3
OI000389,O00152,P027,1,5678.95,0.1
OI000390,O00152,P011,4,7495.81,0.05
OI000391,O00153,P007,4,3880.55,0.3
OI000392,O00153,P064,2,4726.39,0.0
OI000393,O00154,P043,4,6217.67,0.15
OI000394,O00154,P012,2,3994.33,0.3
OI000395,O00155,P028,2,6060.07,0.05
OI000396,O00155,P012,2,3994.33,0.0
OI000397,O00155,P034,2,5252.02,0.1
OI000398,O00155,P047,2,6217.65,0.2
OI000399,O00156,P055,2,3905.29,0.2
OI000400,O00156,P058,1,4600.81,0.05
OI000401,O00157,P027,4,5678.95,0.05
OI000402,O00157,P055,2,3905.29,0.0
OI000403,O00157,P004,3,3768.92,0.2
OI000404,O00157,P050,4,2647.44,0.2
OI000405,O00158,P054,4,5704.38,0.05
OI000406,O00159,P073,3,6594.36,0.15
OI000407,O00159,P034,3,5252.02,0.15
OI000408,O00160,P024,3,6203.92,0.1
OI000409,O00160,P051,2,3109.99,0.2
OI000410,O00160,P070,2,4988.16,0.15
OI000411,O00160,P074,1,7323.07,0.0
OI000412,O00161,P011,1,7495.81,0.1
OI000413,O00161,P072,2,3098.66,0.2
OI000414,O00161,P063,1,4500.08,0.2
OI000415,O00161,P039,1,3602.12,0.05
OI000416,O00162,P039,3,3602.12,0.15
OI000417,O00162,P012,1,3994.33,0.15
OI000418,O00162,P080,3,5576.76,0.2
OI000419,O00163,P021,1,5344.27,0.05
OI000420,O00163,P059,3,4842.61,0.2
OI000421,O00164,P018,4,3329.63,0.2
OI000422,O00165,P015,3,7330.81,0.0
OI000423,O00165,P075,1,6578.23,0.05
OI000424,O00165,P022,2,5959.11,0.1
OI000425,O00165,P061,2,5698.31,0.3
OI000426,O00166,P045,2,5481.6,0.1
OI000427,O00167,P037,2,3125.99,0.05
OI000428,O00167,P076,2,1644.18,0.05
OI000429,O00167,P010,2,7442.3,0.2
OI000430,O00167,P001,1,5060.04,0.0
OI000431,O00168,P017,3,5112.9,0.0
OI000432,O00168,P054,1,5704.38,0.15
OI000433,O00168,P021,2,5344.27,0.2
OI000434,O00169,P013,3,1662.63,0.2
OI000435,O00169,P028,4,6060.07,0.05
OI000436,O00169,P014,1,5526.86,0.2
OI000437,O00170,P026,2,5470.33,0.1
OI000438,O00170,P047,2,6217.65,0.0
OI000439,O00170,P016,1,3833.17,0.3
OI000440,O00171,P004,4,3768.92,0.1
OI000441,O00171,P012,4,3994.33,0.1
OI000442,O00172,P001,4,5060.04,0.3
OI000443,O00172,P003,2,6285.84,0.2
OI000444,O00172,P061,3,5698.31,0.3
OI000445,O00172,P074,1,7323.07,0.15
OI000446,O00173,P029,1,3811.62,0.1
OI000447,O00174,P025,3,3270.83,0.2
OI000448,O00174,P030,2,6724.47,0.05
OI000449,O00174,P051,1,3109.99,0.3
OI000450,O00174,P034,4,5252.02,0.0
OI000451,O00175,P011,2,7495.81,0.2
OI000452,O00176,P066,1,6217.53,0.2
OI000453,O00177,P039,1,3602.12,0.2
OI000454,O00177,P076,2,1644.18,0.1
OI000455,O00178,P053,1,2116.53,0.15
OI000456,O00178,P036,3,1918.28,0.2
OI000457,O00178,P042,4,5125.64,0.05
OI000458,O00179,P042,2,5125.64,0.05
OI000459,O00179,P049,1,6189.2,0.0
OI000460,O00179,P015,3,7330.81,0.2
OI000461,O00179,P072,3,3098.66,0.0
OI000462,O00180,P009,4,4981.98,0.2
OI000463,O00181,P005,1,3320.34,0.2
OI000464,O00181,P026,2,5470.33,0.0
OI000465,O00182,P030,3,6724.47,0.3
OI000466,O00182,P040,4,5866.02,0.05
OI000467,O00182,P053,4,2116.53,0.2
OI000468,O00182,P008,1,5224.68,0.0
OI000469,O00183,P017,4,5112.9,0.0
OI000470,O00183,P043,1,6217.67,0.0
OI000471,O00183,P008,2,5224.68,0.1
OI000472,O00183,P036,4,1918.28,0.1
OI000473,O00184,P071,2,3503.29,0.3
OI000474,O00185,P068,3,7430.32,0.05
OI000475,O00185,P012,4,3994.33,0.15
OI000476,O00185,P051,4,3109.99,0.05
OI000477,O00185,P064,4,4726.39,0.05
OI000478,O00186,P029,4,3811.62,0.3
OI000479,O00186,P068,2,7430.32,0.05
OI000480,O00187,P002,3,3793.81,0.05
OI000481,O00188,P049,2,6189.2,0.3
OI000482,O00188,P041,3,1494.52,0.1
OI000483,O00188,P050,1,2647.44,0.05
OI000484,O00188,P014,2,5526.86,0.1
OI000485,O00189,P037,1,3125.99,0.1
OI000486,O00189,P047,3,6217.65,0.05
OI000487,O00189,P013,2,1662.63,0.0
OI000488,O00189,P061,1,5698.31,0.3
OI000489,O00190,P016,3,3833.17,0.15
OI000490,O00190,P014,3,5526.86,0.1
OI000491,O00190,P039,2,3602.12,0.05
OI000492,O00191,P035,2,4806.84,0.2
OI000493,O00192,P023,4,6282.87,0.3
OI000494,O00193,P024,3,6203.92,0.1
OI000495,O00193,P011,2,7495.81,0.3
OI000496,O00193,P016,4,3833.17,0.15
OI000497,O00193,P080,4,5576.76,0.1
OI000498,O00194,P067,2,3139.17,0.05
OI000499,O00194,P031,1,4921.58,0.15
OI000500,O00195,P060,1,1760.75,0.3
OI000501,O00195,P030,3,6724.47,0.15
OI000502,O00196,P048,2,4310.39,0.15
OI000503,O00197,P045,3,5481.6,0.05
OI000504,O00198,P078,3,5006.54,0.15
OI000505,O00199,P072,2,3098.66,0.1
OI000506,O00199,P052,3,5599.03,0.05
OI000507,O00199,P036,1,1918.28,0.15
OI000508,O00199,P011,2,7495.81,0.3
OI000509,O00200,P044,2,4748.93,0.3
OI000510,O00200,P028,2,6060.07,0.1
OI000511,O00200,P024,3,6203.92,0.0
OI000512,O00200,P027,2,5678.95,0.05
OI000513,O00201,P059,3,4842.61,0.05
OI000514,O00201,P072,3,3098.66,0.3
OI000515,O00201,P050,1,2647.44,0.0
OI000516,O00201,P020,4,5123.92,0.0
OI000517,O00202,P028,1,6060.07,0.0
OI000518,O00202,P040,1,5866.02,0.3
OI000519,O00202,P070,3,4988.16,0.2
OI000520,O00203,P069,3,5592.45,0.2
OI000521,O00204,P044,3,4748.93,0.05
OI000522,O00204,P056,4,5689.43,0.2
OI000523,O00205,P077,1,1850.78,0.05
OI000524,O00205,P036,3,1918.28,0.1
OI000525,O00205,P056,4,5689.43,0.15
OI000526,O00206,P034,2,5252.02,0.15
OI000527,O00206,P049,3,6189.2,0.0
OI000528,O00207,P019,1,3112.57,0.15
OI000529,O00207,P051,3,3109.99,0.1
OI000530,O00207,P044,4,4748.93,0.15
OI000531,O00207,P055,2,3905.29,0.0
OI000532,O00208,P071,3,3503.29,0.15
OI000533,O00208,P037,2,3125.99,0.15
OI000534,O00209,P005,2,3320.34,0.15
OI000535,O00210,P057,2,3618.93,0.2
OI000536,O00210,P034,4,5252.02,0.05
OI000537,O00210,P024,4,6203.92,0.15
OI000538,O00211,P070,1,4988.16,0.1
OI000539,O00211,P050,1,2647.44,0.3
OI000540,O00212,P051,3,3109.99,0.15
OI000541,O00212,P006,1,4253.34,0.15
OI000542,O00212,P047,4,6217.65,0.0
OI000543,O00212,P077,4,1850.78,0.15
OI000544,O00213,P059,1,4842.61,0.0
OI000545,O00213,P050,3,2647.44,0.05
OI000546,O00214,P034,3,5252.02,0.05
OI000547,O00215,P069,3,5592.45,0.05
OI000548,O00215,P006,1,4253.34,0.2
OI000549,O00215,P012,2,3994.33,0.0
OI000550,O00215,P033,1,2579.49,0.15
OI000551,O00216,P032,1,6623.25,0.2
OI000552,O00217,P031,4,4921.58,0.05
OI000553,O00217,P005,4,3320.34,0.15
OI000554,O00217,P062,4,1993.86,0.0
OI000555,O00218,P022,3,5959.11,0.15
OI000556,O00218,P015,1,7330.81,0.1
OI000557,O00218,P034,2,5252.02,0.05
OI000558,O00218,P079,4,2345.86,0.05
OI000559,O00219,P063,4,4500.08,0.2
OI000560,O00219,P064,3,4726.39,0.1
OI000561,O00219,P072,3,3098.66,0.0
OI000562,O00220,P011,1,7495.81,0.05
OI000563,O00220,P042,4,5125.64,0.2
OI000564,O00221,P020,4,5123.92,0.15
OI000565,O00221,P047,3,6217.65,0.3
OI000566,O00221,P029,3,3811.62,0.1
OI000567,O00221,P071,3,3503.29,0.15
OI000568,O00222,P042,3,5125.64,0.3
OI000569,O00223,P047,2,6217.65,0.1
OI000570,O00223,P079,4,2345.86,0.3
OI000571,O00223,P013,3,1662.63,0.1
OI000572,O00224,P069,4,5592.45,0.0
OI000573,O00224,P014,3,5526.86,0.05
OI000574,O00224,P047,4,6217.65,0.2
OI000575,O00224,P059,1,4842.61,0.3
OI000576,O00225,P007,1,3880.55,0.15
OI000577,O00225,P044,3,4748.93,0.3
OI000578,O00226,P060,1,1760.75,0.05
OI000579,O00227,P010,3,7442.3,0.3
OI000580,O00228,P067,1,3139.17,0.0
OI000581,O00228,P005,4,3320.34,0.0
OI000582,O00228,P047,4,6217.65,0.2
OI000583,O00229,P042,2,5125.64,0.3
OI000584,O00229,P008,4,5224.68,0.0
OI000585,O00229,P034,3,5252.02,0.15
OI000586,O00230,P045,4,5481.6,0.2
OI000587,O00230,P071,3,3503.29,0.0
OI000588,O00230,P061,2,5698.31,0.05
OI000589,O00231,P018,4,3329.63,0.0
OI000590,O00231,P080,3,5576.76,0.2
OI000591,O00231,P065,2,1521.26,0.0
OI000592,O00232,P006,4,4253.34,0.2
OI000593,O00232,P054,4,5704.38,0.3
OI000594,O00233,P078,1,5006.54,0.05
OI000595,O00233,P026,3,5470.33,0.3
OI000596,O00233,P051,1,3109.99,0.2
OI000597,O00233,P034,4,5252.02,0.3
OI000598,O00234,P013,1,1662.63,0.3
OI000599,O00234,P039,1,3602.12,0.1
OI000600,O00234,P073,1,6594.36,0.2
OI000601,O00234,P076,1,1644.18,0.15
OI000602,O00235,P029,1,3811.62,0.05
OI000603,O00235,P061,4,5698.31,0.3
OI000604,O00235,P024,2,6203.92,0.3
OI000605,O00235,P071,1,3503.29,0.3
OI000606,O00236,P003,4,6285.84,0.1
